Size_Bytes,Avg_Time_NS
1,1217
32,1202
256,1220
512,1214
1024,1211
2048,1212
4096,1793
8192,2253
16384,2591
32768,2821
65536,3040
100000,3306
120000,3295
131072,3320
150000,3958
200000,3969
262144,4006
524288,4111
1048576,4348
2097152,4769
